0	0.75317997
1	4.0
2	4.0
3	4.0
4	4.0
5	4.0
6	1.0
7	4.0
8	2.25
9	1.0
10	2.25
11	2.25
12	1.0
13	1.0
14	4.0
15	1.0
16	2.25
17	2.25
18	4.0
19	2.25
20	1.0
21	2.25
22	2.25
23	4.0
24	0.0
25	2.25
26	4.0
27	2.25
28	0.0
29	0.25
30	1.0
31	2.25
32	0.25
33	4.0
34	2.25
35	2.25
36	1.0
37	1.0
38	2.25
39	2.25
40	4.0
41	0.25
42	1.0
43	0.25
44	4.0
45	1.0
46	4.0
47	1.0
48	0.25
49	2.25
50	2.25
51	4.0
52	1.0
53	2.25
54	1.0
55	1.0
56	0.0
57	4.0
58	4.0
59	1.0
60	1.0
61	1.0
62	2.25
63	0.0
64	4.0
65	4.0
66	1.0
67	4.0
68	2.25
69	0.0
70	4.0
71	0.25
72	0.25
73	0.25
74	0.25
75	2.25
76	1.0
77	1.0
78	0.25
79	1.0
80	0.0
81	4.0
82	0.0
83	2.25
84	2.25
85	1.0
86	1.0
87	0.0
88	1.0
89	4.0
90	0.0
91	1.0
92	1.0
93	2.25
94	0.25
95	0.25
96	2.25
97	1.0
98	0.25
99	0.25
100	4.0
101	1.0
102	1.0
103	4.0
104	1.0
105	4.0
106	0.25
107	1.0
108	0.25
109	0.25
110	1.0
111	0.25
112	4.0
113	4.0
114	2.25
115	1.0
116	0.25
117	4.0
118	0.25
119	4.0
120	1.0
121	1.0
122	2.25
123	4.0
124	0.25
125	0.25
126	4.0
127	1.0
128	2.25
129	1.0
130	1.0
131	4.0
132	2.25
133	1.0
134	1.0
135	0.0
136	0.25
137	2.25
138	1.0
139	2.25
140	0.25
141	0.25
142	2.25
143	1.0
144	4.0
145	1.0
146	1.0
147	4.0
148	0.25
149	0.25
150	4.0
151	4.0
152	0.25
153	1.0
154	2.25
155	4.0
156	4.0
